,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,R1,R2,project,condition,reference_condition,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
SRX3686796,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713356,SRP132734,PRJNA433880,433880,SRS2946811,SAMN08522283,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092757,8522283,GSE110508,GSM2995010,29511081,,,,,kinase,T4 _48h_H,DMSO_0h_F,True,True,True,kinase:T4 _48h_H,True,True
SRX3686797,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713357,SRP132734,PRJNA433880,433880,SRS2946810,SAMN08522284,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092758,8522284,GSE110508,GSM2995011,29511081,,,,,kinase,T4 _48h_H,DMSO_0h_F,True,True,True,kinase:T4 _48h_H,True,True
SRX3686798,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713358,SRP132734,PRJNA433880,433880,SRS2946812,SAMN08522322,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092759,8522322,GSE110508,GSM2995012,29511081,,,,,kinase,T4 _48h_H,DMSO_0h_F,True,True,True,kinase:T4 _48h_H,True,True
SRX3686799,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713359,SRP132734,PRJNA433880,433880,SRS2946813,SAMN08522285,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092760,8522285,GSE110508,GSM2995013,29511081,,,,,kinase,DMSO_0h_I,DMSO_0h_F,True,True,True,kinase:DMSO_0h_I,True,True
SRX3686800,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713360,SRP132734,PRJNA433880,433880,SRS2946814,SAMN08522321,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092761,8522321,GSE110508,GSM2995014,29511081,,,,,kinase,DMSO_0h_I,DMSO_0h_F,True,True,True,kinase:DMSO_0h_I,True,True
SRX3686801,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713361,SRP132734,PRJNA433880,433880,SRS2946815,SAMN08522314,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092762,8522314,GSE110508,GSM2995015,29511081,,,,,kinase,DMSO_0h_I,DMSO_0h_F,True,True,True,kinase:DMSO_0h_I,True,True
SRX3686804,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713364,SRP132734,PRJNA433880,433880,SRS2946819,SAMN08522323,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092765,8522323,GSE110508,GSM2995018,29511081,,,,,kinase,DMSO_0h_I,DMSO_0h_F,True,True,True,kinase:DMSO_0h_I,True,True
SRX3686805,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713365,SRP132734,PRJNA433880,433880,SRS2946818,SAMN08522317,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092766,8522317,GSE110508,GSM2995019,29511081,,,,,kinase,T10_12h_I,DMSO_0h_F,True,True,True,kinase:T10_12h_I,True,True
SRX3686806,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713366,SRP132734,PRJNA433880,433880,SRS2946821,SAMN08522316,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092767,8522316,GSE110508,GSM2995020,29511081,,,,,kinase,T10_12h_I,DMSO_0h_F,True,True,True,kinase:T10_12h_I,True,True
SRX3686807,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713367,SRP132734,PRJNA433880,433880,SRS2946822,SAMN08522318,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092768,8522318,GSE110508,GSM2995021,29511081,,,,,kinase,T10_12h_I,DMSO_0h_F,True,True,True,kinase:T10_12h_I,True,True
SRX3686808,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713368,SRP132734,PRJNA433880,433880,SRS2946823,SAMN08522287,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092769,8522287,GSE110508,GSM2995022,29511081,,,,,kinase,T4 20 _12h_I,DMSO_0h_F,True,True,True,kinase:T4 20 _12h_I,True,True
SRX3686809,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713369,SRP132734,PRJNA433880,433880,SRS2946824,SAMN08522320,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092770,8522320,GSE110508,GSM2995023,29511081,,,,,kinase,T4 20 _12h_I,DMSO_0h_F,True,True,True,kinase:T4 20 _12h_I,True,True
SRX3686810,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713370,SRP132734,PRJNA433880,433880,SRS2946827,SAMN08522319,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092771,8522319,GSE110508,GSM2995024,29511081,,,,,kinase,T4 20 _12h_I,DMSO_0h_F,True,True,True,kinase:T4 20 _12h_I,True,True
SRX3686811,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713371,SRP132734,PRJNA433880,433880,SRS2946826,SAMN08522291,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092772,8522291,GSE110508,GSM2995025,29511081,,,,,kinase,T10_24h_I,DMSO_0h_F,True,True,True,kinase:T10_24h_I,True,True
SRX3686812,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6713372,SRP132734,PRJNA433880,433880,SRS2946828,SAMN08522292,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092773,8522292,GSE110508,GSM2995026,29511081,,,,,kinase,T10_24h_I,DMSO_0h_F,True,True,True,kinase:T10_24h_I,True,True
SRX3686813,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713373,SRP132734,PRJNA433880,433880,SRS2946830,SAMN08522290,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092774,8522290,GSE110508,GSM2995027,29511081,,,,,kinase,T10_24h_I,DMSO_0h_F,True,True,True,kinase:T10_24h_I,True,True
SRX3686814,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713374,SRP132734,PRJNA433880,433880,SRS2946829,SAMN08522289,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092775,8522289,GSE110508,GSM2995028,29511081,,,,,kinase,T4_24h_I,DMSO_0h_F,True,True,True,kinase:T4_24h_I,True,True
SRX3686815,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713375,SRP132734,PRJNA433880,433880,SRS2946825,SAMN08522301,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092776,8522301,GSE110508,GSM2995029,29511081,,,,,kinase,T4_24h_I,DMSO_0h_F,True,True,True,kinase:T4_24h_I,True,True
SRX3686816,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713376,SRP132734,PRJNA433880,433880,SRS2946831,SAMN08522293,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092777,8522293,GSE110508,GSM2995030,29511081,,,,,kinase,T4_24h_I,DMSO_0h_F,True,True,True,kinase:T4_24h_I,True,True
SRX3686817,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713377,SRP132734,PRJNA433880,433880,SRS2946832,SAMN08522288,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092778,8522288,GSE110508,GSM2995031,29511081,,,,,kinase,T10_48h_I,DMSO_0h_F,True,True,True,kinase:T10_48h_I,True,True
SRX3686818,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713378,SRP132734,PRJNA433880,433880,SRS2946833,SAMN08522278,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092779,8522278,GSE110508,GSM2995032,29511081,,,,,kinase,T10_48h_I,DMSO_0h_F,True,True,True,kinase:T10_48h_I,True,True
SRX3686819,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713379,SRP132734,PRJNA433880,433880,SRS2946838,SAMN08522279,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092780,8522279,GSE110508,GSM2995033,29511081,,,,,kinase,T10_48h_I,DMSO_0h_F,True,True,True,kinase:T10_48h_I,True,True
SRX3686820,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713380,SRP132734,PRJNA433880,433880,SRS2946834,SAMN08522277,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092781,8522277,GSE110508,GSM2995034,29511081,,,,,kinase,T4_48h_I,DMSO_0h_F,True,True,True,kinase:T4_48h_I,True,True
SRX3686821,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713381,SRP132734,PRJNA433880,433880,SRS2946835,SAMN08522303,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092782,8522303,GSE110508,GSM2995035,29511081,,,,,kinase,T4_48h_I,DMSO_0h_F,True,True,True,kinase:T4_48h_I,True,True
SRX3686822,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713382,SRP132734,PRJNA433880,433880,SRS2946837,SAMN08522273,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092783,8522273,GSE110508,GSM2995036,29511081,,,,,kinase,T4_48h_I,DMSO_0h_F,True,True,True,kinase:T4_48h_I,True,True
SRX3686823,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713383,SRP132734,PRJNA433880,433880,SRS2946836,SAMN08522302,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092784,8522302,GSE110508,GSM2995037,29511081,,,,,kinase,WT_T10_48h,DMSO_0h_F,True,True,True,kinase:WT_T10_48h,True,True
SRX3686824,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713384,SRP132734,PRJNA433880,433880,SRS2946840,SAMN08522280,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092785,8522280,GSE110508,GSM2995038,29511081,,,,,kinase,WT_T10_48h,DMSO_0h_F,True,True,True,kinase:WT_T10_48h,True,True
SRX3686825,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713385,SRP132734,PRJNA433880,433880,SRS2946841,SAMN08522274,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092786,8522274,GSE110508,GSM2995039,29511081,,,,,kinase,WT_T10_48h,DMSO_0h_F,True,True,True,kinase:WT_T10_48h,True,True
SRX3686826,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713386,SRP132734,PRJNA433880,433880,SRS2946844,SAMN08522281,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092787,8522281,GSE110508,GSM2995040,29511081,,,,,kinase,pknL_T10_48h,DMSO_0h_F,True,True,True,kinase:pknL_T10_48h,True,True
SRX3686827,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713387,SRP132734,PRJNA433880,433880,SRS2946843,SAMN08522282,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092788,8522282,GSE110508,GSM2995041,29511081,,,,,kinase,pknL_T10_48h,DMSO_0h_F,True,True,True,kinase:pknL_T10_48h,True,True
SRX3686828,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713388,SRP132734,PRJNA433880,433880,SRS2946845,SAMN08522300,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092789,8522300,GSE110508,GSM2995042,29511081,,,,,kinase,pknL_T10_48h,DMSO_0h_F,True,True,True,kinase:pknL_T10_48h,True,True
SRX3686829,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713389,SRP132734,PRJNA433880,433880,SRS2946846,SAMN08522276,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092790,8522276,GSE110508,GSM2995043,29511081,,,,,kinase,pknL_T4_48h,DMSO_0h_F,True,True,True,kinase:pknL_T4_48h,True,True
SRX3686830,2018-03-09 16:56:14,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR6713390,SRP132734,PRJNA433880,433880,SRS2946842,SAMN08522275,SRA658949,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5092791,8522275,GSE110508,GSM2995044,29511081,,,,,kinase,pknL_T4_48h,DMSO_0h_F,True,True,True,kinase:pknL_T4_48h,True,True
SRX3746749,2018-03-01 16:12:28,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR6787468,SRP133588,PRJNA436144,436144,SRS3003163,SAMN08617058,SRA662598,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5165483,8617058,GSE111193,GSM3025090,30242166,H37Rv,mIHF-cKD,,,kinase,WT_T10_48h,DMSO_0h_F,True,True,True,kinase:WT_T10_48h,True,True
SRX3746750,2018-03-01 16:12:28,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR6787469,SRP133588,PRJNA436144,436144,SRS3003164,SAMN08617057,SRA662598,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5165484,8617057,GSE111193,GSM3025091,30242166,H37Rv,mIHF-cKD,,,kinase,WT_T10_48h,DMSO_0h_F,True,True,True,kinase:WT_T10_48h,True,True
SRX3746751,2018-03-01 16:12:28,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR6787470,SRP133588,PRJNA436144,436144,SRS3003165,SAMN08617064,SRA662598,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5165485,8617064,GSE111193,GSM3025092,30242166,H37Rv,mIHF-cKD,,,kinase,WT_T4_48h,DMSO_0h_F,True,True,True,kinase:WT_T4_48h,True,True
SRX3746752,2018-03-01 16:12:28,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR6787471,SRP133588,PRJNA436144,436144,SRS3003166,SAMN08617065,SRA662598,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5165486,8617065,GSE111193,GSM3025093,30242166,H37Rv,WT,,,kinase,WT_T4_48h,DMSO_0h_F,True,True,True,kinase:WT_T4_48h,True,True
SRX3746753,2018-03-01 16:12:28,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR6787472,SRP133588,PRJNA436144,436144,SRS3003167,SAMN08617055,SRA662598,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5165487,8617055,GSE111193,GSM3025094,30242166,H37Rv,WT,,,kinase,WT_T4_48h,DMSO_0h_F,True,True,True,kinase:WT_T4_48h,True,True
SRX3746754,2018-03-01 16:12:29,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR6787473,SRP133588,PRJNA436144,436144,SRS3003168,SAMN08617056,SRA662598,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5165488,8617056,GSE111193,GSM3025095,30242166,H37Rv,WT,,,kinase,pknD_T10_48h,DMSO_0h_F,True,True,True,kinase:pknD_T10_48h,True,True
SRX3746755,2018-03-01 16:12:29,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR6787474,SRP133588,PRJNA436144,436144,SRS3003169,SAMN08617054,SRA662598,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5165489,8617054,GSE111193,GSM3025096,30242166,H37Rv,WT,,,kinase,pknD_T10_48h,DMSO_0h_F,True,True,True,kinase:pknD_T10_48h,True,True
SRX3992205,2018-05-26 00:41:26,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,NextSeq 550,SRR7061282,SRP142541,PRJNA453381,453381,SRS3216601,SAMN08976471,SRA694971,RNA-Seq,unspecified,TRANSCRIPTOMIC,,HARVARD UNIVERSITY,0,0,5460703,8976471,,,,H37Rv,,,,mrsI,ko_sds_no_atc,ko_sds_no_atc,True,True,True,mrsI:ko_sds_no_atc,True,True
SRX3992206,2018-05-26 00:41:26,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,NextSeq 550,SRR7061281,SRP142541,PRJNA453381,453381,SRS3216601,SAMN08976471,SRA694971,RNA-Seq,unspecified,TRANSCRIPTOMIC,,HARVARD UNIVERSITY,0,0,5460704,8976471,,,,H37Rv,,,,mrsI,ko_sds_no_atc,ko_sds_no_atc,True,True,True,mrsI:ko_sds_no_atc,True,True
SRX3995805,2018-04-29 10:56:12,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7064996,SRP142639,PRJNA453604,453604,SRS3219966,SAMN08982655,SRA695497,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5466069,8982655,GSE113683,GSM3111058,30301850,H37Rv,,,,mrsI,ko_iron_atc,ko_sds_no_atc,True,True,True,mrsI:ko_iron_atc,True,True
SRX3995806,2018-04-29 10:56:12,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7064997,SRP142639,PRJNA453604,453604,SRS3219967,SAMN08982654,SRA695497,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5466070,8982654,GSE113683,GSM3111059,30301850,H37Rv,,,,mrsI,ko_iron_atc,ko_sds_no_atc,True,True,True,mrsI:ko_iron_atc,True,True
SRX3995807,2018-04-29 10:56:12,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7064998,SRP142639,PRJNA453604,453604,SRS3219968,SAMN08982653,SRA695497,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5466071,8982653,GSE113683,GSM3111060,30301850,H37Rv,,,,mrsI,ko_ox_no_atc,ko_sds_no_atc,True,True,True,mrsI:ko_ox_no_atc,True,True
SRX3995808,2018-04-29 10:56:12,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7064999,SRP142639,PRJNA453604,453604,SRS3219969,SAMN08982652,SRA695497,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5466072,8982652,GSE113683,GSM3111061,30301850,H37Rv,,,,mrsI,ko_ox_no_atc,ko_sds_no_atc,True,True,True,mrsI:ko_ox_no_atc,True,True
SRX4314262,2019-03-04 15:47:06,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,NextSeq 500,SRR7443723,SRP151480,PRJNA478238,478238,SRS3473433,SAMN09503003,SRA729731,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5801647,9503003,GSE116353,GSM3229717,30833303,H37Rv,wildtype,,,AX,wt,wt,True,True,True,AX:wt,True,True
SRX4314263,2019-03-04 15:47:06,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,NextSeq 500,SRR7443724,SRP151480,PRJNA478238,478238,SRS3473434,SAMN09503002,SRA729731,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5801648,9503002,GSE116353,GSM3229718,30833303,H37Rv,wildtype,,,AX,wt,wt,True,True,True,AX:wt,True,True
SRX4314264,2019-03-04 15:47:06,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,NextSeq 500,SRR7443725,SRP151480,PRJNA478238,478238,SRS3473435,SAMN09503001,SRA729731,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5801649,9503001,GSE116353,GSM3229719,30833303,H37Rv,wildtype,,,AX,AX_10_MIC,wt,True,True,True,AX:AX_10_MIC,True,True
SRX4314265,2019-03-04 15:47:06,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,NextSeq 500,SRR7443726,SRP151480,PRJNA478238,478238,SRS3473436,SAMN09503000,SRA729731,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5801650,9503000,GSE116353,GSM3229720,30833303,H37Rv,wildtype,,,AX,AX_10_MIC,wt,True,True,True,AX:AX_10_MIC,True,True
SRX4314266,2019-03-04 15:47:06,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,NextSeq 500,SRR7443727,SRP151480,PRJNA478238,478238,SRS3473437,SAMN09502999,SRA729731,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5801651,9502999,GSE116353,GSM3229721,30833303,H37Rv,wildtype,,,AX,AX_30_MIC,wt,True,True,True,AX:AX_30_MIC,True,True
SRX4314267,2019-03-04 15:47:06,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,NextSeq 500,SRR7443728,SRP151480,PRJNA478238,478238,SRS3473438,SAMN09502998,SRA729731,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5801652,9502998,GSE116353,GSM3229722,30833303,H37Rv,wildtype,,,AX,AX_30_MIC,wt,True,True,True,AX:AX_30_MIC,True,True
SRX4314271,2019-03-04 15:47:06,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,NextSeq 500,SRR7443732,SRP151480,PRJNA478238,478238,SRS3473442,SAMN09502994,SRA729731,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5801656,9502994,GSE116353,GSM3229726,30833303,H37Rv,wildtype,,,hypoxia,017h_.57_DO,017h_.57_DO,True,True,True,hypoxia:017h_.57_DO,True,True
SRX4314272,2019-03-04 15:47:06,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,NextSeq 500,SRR7443733,SRP151480,PRJNA478238,478238,SRS3473443,SAMN09502993,SRA729731,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5801657,9502993,GSE116353,GSM3229727,30833303,H37Rv,wildtype,,,hypoxia,017h_.57_DO,017h_.57_DO,True,True,True,hypoxia:017h_.57_DO,True,True
SRX4314273,2019-03-04 15:47:06,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,NextSeq 500,SRR7443734,SRP151480,PRJNA478238,478238,SRS3473444,SAMN09502992,SRA729731,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5801658,9502992,GSE116353,GSM3229728,30833303,H37Rv,wildtype,,,hypoxia,017h_.57_DO,017h_.57_DO,True,True,True,hypoxia:017h_.57_DO,True,True
