All-Genes,Genes in same transcription unit,Accession-1,Left-End-Position
Rv0479c,Rv0480c // Rv0479c,Rv0479c,567921
Rv0480c,Rv0480c // Rv0479c,Rv0480c,568964
Rv0481c,Rv0481c,Rv0481c,569988
murB,murB,Rv0482,570539
lprQ,lprQ,Rv0483,571710
Rv0484c,Rv0484c,Rv0484c,573046
Rv0485,Rv0485,Rv0485,573984
mshA,Rv0487 // mshA,Rv0486,575348
Rv0487,Rv0487 // mshA,Rv0487,576787
Rv0488,Rv0488,Rv0488,577664
gpmA,gpmA,Rv0489,578426
senX3,senX3,Rv0490,579349
regX3,regX3,Rv0491,580809
Rv0492A,Rv0493c // Rv0492A // Rv0492c,Rv0492A,583375
Rv0492c,Rv0493c // Rv0492A // Rv0492c,Rv0492c,581489
Rv0493c,Rv0493c // Rv0492A // Rv0492c,Rv0493c,583701
Rv0494,Rv0494,Rv0494,584695
Rv0495c,Rv0495c,Rv0495c,585424
ppx1,proC // Rv0499 // Rv0498 // Rv0497 // ppx1,Rv0496,586394
Rv0497,proC // Rv0499 // Rv0498 // Rv0497 // ppx1,Rv0497,587377
Rv0498,proC // Rv0499 // Rv0498 // Rv0497 // ppx1,Rv0498,588325
Rv0499,proC // Rv0499 // Rv0498 // Rv0497 // ppx1,Rv0499,589183
proC,proC // Rv0499 // Rv0498 // Rv0497 // ppx1,Rv0500,590083
Rv0500A,Rv0500A,Rv0500A,591111
Rv0500B,Rv0500B,Rv0500B,591475
galE2,Rv0502 // galE2,Rv0501,591654
Rv0502,Rv0502 // galE2,Rv0502,592791
cmaA2,Rv0504c // cmaA2,Rv0503c,593871
Rv0504c,Rv0504c // cmaA2,Rv0504c,594802
serB1,serB1,Rv0505c,595464
mmpS2,Rv0508 // mmpL2 // mmpS2,Rv0506,596759
mmpL2,Rv0508 // mmpL2 // mmpS2,Rv0507,597199
Rv0508,Rv0508 // mmpL2 // mmpS2,Rv0508,600098
hemA,hemD // hemC // hemA,Rv0509,600441
hemC,hemD // hemC // hemA,Rv0510,601857
hemD,hemD // hemC // hemA,Rv0511,602819
hemB,Rv0514 // Rv0513 // hemB,Rv0512,604602
Rv0513,Rv0514 // Rv0513 // hemB,Rv0513,605604
Rv0514,Rv0514 // Rv0513 // hemB,Rv0514,606149
Rv0515,Rv0515,Rv0515,606551
Rv0516c,Rv0516c,Rv0516c,608059
Rv0517,Rv0517,Rv0517,608746
Rv0518,Rv0518,Rv0518,610188
Rv0519c,Rv0519c,Rv0519c,611172
Rv0520,Rv0521 // Rv0520,Rv0520,612255
Rv0521,Rv0521 // Rv0520,Rv0521,612598
gabP,gabP,Rv0522,613038
Rv0523c,Rv0523c,Rv0523c,614326
hemL,ccsA // Rv0528 // ccdA // Rv0526 // Rv0525 // hemL,Rv0524,614835
Rv0525,ccsA // Rv0528 // ccdA // Rv0526 // Rv0525 // hemL,Rv0525,616223
Rv0526,ccsA // Rv0528 // ccdA // Rv0526 // Rv0525 // hemL,Rv0526,616846
ccdA,ccsA // Rv0528 // ccdA // Rv0526 // Rv0525 // hemL,Rv0527,617493
Rv0528,ccsA // Rv0528 // ccdA // Rv0526 // Rv0525 // hemL,Rv0528,618305
ccsA,ccsA // Rv0528 // ccdA // Rv0526 // Rv0525 // hemL,Rv0529,619891
Rv0530,Rv0530,Rv0530,620907
Rv0530A,Rv0530A,Rv0530A,622121
Rv0531,Rv0531,Rv0531,622329
PE_PGRS6,PE_PGRS6,Rv0532,622793
fabH,fabH,Rv0533c,624473
menA,menA,Rv0534c,625562
pnp,galE3 // pnp,Rv0535,626457
galE3,galE3 // pnp,Rv0536,627248
Rv0537c,Rv0537c,Rv0537c,628298
Rv0538,Rv0538,Rv0538,630040
Rv0539,Rv0540 // Rv0539,Rv0539,631743
Rv0540,Rv0540 // Rv0539,Rv0540,632372
Rv0541c,Rv0543c // menE // Rv0541c,Rv0541c,633055
menE,Rv0543c // menE // Rv0541c,Rv0542c,634416
Rv0543c,Rv0543c // menE // Rv0541c,Rv0543c,635573
Rv0544c,pitA // Rv0544c,Rv0544c,635935
pitA,pitA // Rv0544c,Rv0545c,636210
Rv0546c,Rv0546c,Rv0546c,637583
Rv0547c,menB // Rv0547c,Rv0547c,638032
menB,menB // Rv0547c,Rv0548c,639012
vapC3,vapB3 // vapC3,Rv0549c,640228
vapB3,vapB3 // vapC3,Rv0550c,640638
fadD8,fadD8,Rv0551c,641096
Rv0552,bpoC // menC // Rv0552,Rv0552,642889
menC,bpoC // menC // Rv0552,Rv0553,644490
bpoC,bpoC // menC // Rv0552,Rv0554,645467
menD,Rv0556 // menD,Rv0555,646298
Rv0556,Rv0556 // menD,Rv0556,647959
mgtA,menH // mgtA,Rv0557,648536
menH,menH // mgtA,Rv0558,649689
Rv0559c,menJ // htmA // Rv0559c,Rv0559c,650407
htmA,menJ // htmA // Rv0559c,Rv0560c,650779
menJ,menJ // htmA // Rv0559c,Rv0561c,651529
grcC1,grcC1,Rv0562,652771
htpX,htpX,Rv0563,653879
gpdA1,gpdA1,Rv0564c,654924
Rv0565c,Rv0565c,Rv0565c,656010
Rv0566c,Rv0566c,Rv0566c,657548
Rv0567,Rv0567,Rv0567,658321
cyp135B1,cyp135B1,Rv0568,659450
Rv0569,nrdZ // Rv0569,Rv0569,661003
nrdZ,nrdZ // Rv0569,Rv0570,661295
Rv0571c,Rv0571c,Rv0571c,663487
Rv0572c,Rv0572c,Rv0572c,665042
pncB2,Rv0574c // pncB2,Rv0573c,665851
Rv0574c,Rv0574c // pncB2,Rv0574c,667252
Rv0575c,Rv0575c,Rv0575c,668579
Rv0576,cfp32 // Rv0576,Rv0576,669848
cfp32,cfp32 // Rv0576,Rv0577,671166
PE_PGRS7,PE_PGRS7,Rv0578c,671996
Rv0579,Rv0579,Rv0579,676238
Rv0580c,Rv0580c,Rv0580c,677125
vapB26,vapC26 // vapB26,Rv0581,677710
vapC26,vapC26 // vapB26,Rv0582,677922
lpqN,lpqN,Rv0583c,678389
Rv0584,Rv0584,Rv0584,679229
Rv0585c,Rv0585c,Rv0585c,681885
mce2R,mce2F // lprL // mce2D // mce2C // Rv0590A // mce2B // mce2A // yrbE2B // yrbE2A // mce2R,Rv0586,684410
yrbE2A,mce2F // lprL // mce2D // mce2C // Rv0590A // mce2B // mce2A // yrbE2B // yrbE2A // mce2R,Rv0587,685129
yrbE2B,mce2F // lprL // mce2D // mce2C // Rv0590A // mce2B // mce2A // yrbE2B // yrbE2A // mce2R,Rv0588,685928
mce2A,mce2F // lprL // mce2D // mce2C // Rv0590A // mce2B // mce2A // yrbE2B // yrbE2A // mce2R,Rv0589,686821
mce2B,mce2F // lprL // mce2D // mce2C // Rv0590A // mce2B // mce2A // yrbE2B // yrbE2A // mce2R,Rv0590,688032
Rv0590A,mce2F // lprL // mce2D // mce2C // Rv0590A // mce2B // mce2A // yrbE2B // yrbE2A // mce2R,Rv0590A,688808
mce2C,mce2F // lprL // mce2D // mce2C // Rv0590A // mce2B // mce2A // yrbE2B // yrbE2A // mce2R,Rv0591,689059
mce2D,mce2F // lprL // mce2D // mce2C // Rv0590A // mce2B // mce2A // yrbE2B // yrbE2A // mce2R,Rv0592,690501
lprL,mce2F // lprL // mce2D // mce2C // Rv0590A // mce2B // mce2A // yrbE2B // yrbE2A // mce2R,Rv0593,692024
mce2F,mce2F // lprL // mce2D // mce2C // Rv0590A // mce2B // mce2A // yrbE2B // yrbE2A // mce2R,Rv0594,693237
vapC4,vapB4 // vapC4,Rv0595c,694839
vapB4,vapB4 // vapC4,Rv0596c,695228
Rv0597c,Rv0597c,Rv0597c,695668
vapC27,vapB27 // vapC27,Rv0598c,697154
vapB27,vapB27 // vapC27,Rv0599c,697564
Rv0600c,Rv0600c,Rv0600c,697904
Rv0601c,Rv0601c,Rv0601c,698524
tcrA,tcrA,Rv0602c,699038
Rv0603,Rv0603,Rv0603,699856
lpqO,lpqO,Rv0604,700239
Rv0605,Rv0606 // Rv0605,Rv0605,701406
Rv0606,Rv0606 // Rv0605,Rv0606,702016
Rv0607,Rv0607,Rv0607,702813
vapB28,Rv0609A // vapC28 // vapB28,Rv0608,703244
vapC28,Rv0609A // vapC28 // vapB28,Rv0609,703486
Rv0609A,Rv0609A // vapC28 // vapB28,Rv0609A,703830
Rv0610c,Rv0610c,Rv0610c,704752
Rv0611c,Rv0611c,Rv0611c,705961
Rv0612,Rv0612,Rv0612,706324
Rv0613c,Rv0613c,Rv0613c,706948
Rv0614,Rv0615 // Rv0614,Rv0614,709356
Rv0615,Rv0615 // Rv0614,Rv0615,710345
vapB29,vapC29 // vapB29,Rv0616A,710782
Rv0616c,Rv0616c,Rv0616c,710584
vapC29,vapC29 // vapB29,Rv0617,711006
galTa,galK // galTb // galTa,Rv0618,711536
galTb,galK // galTb // galTa,Rv0619,712174
galK,galK // galTb // galTa,Rv0620,712716
Rv0621,Rv0621,Rv0621,714202
Rv0622,Rv0622,Rv0622,715370
vapB30,vapC30 // vapB30,Rv0623,716410
vapC30,vapC30 // vapB30,Rv0624,716664
Rv0625c,Rv0625c,Rv0625c,717153
vapB5,vapC5 // vapB5,Rv0626,718025
vapC5,vapC5 // vapB5,Rv0627,718282
Rv0628c,Rv0628c,Rv0628c,718761
recD,recC // recB // recD,Rv0629c,720005
recB,recC // recB // recD,Rv0630c,721729
recC,recC // recB // recD,Rv0631c,725013
echA3,echA3,Rv0632c,728583
Rv0633c,Rv0633c,Rv0633c,729327
Rv0634A,Rv0634A,Rv0634A,731113
rpmG2,rpmG2 // metT // thrT,Rv0634B,731712
Rv0634c,Rv0634c,Rv0634c,730320
hadA,hadC // hadB // hadA,Rv0635,731930
hadB,hadC // hadB // hadA,Rv0636,732393
hadC,hadC // hadB // hadA,Rv0637,732825
secE1,nusG // secE1,Rv0638,733737
nusG,nusG // secE1,Rv0639,734254
rplK,rplK,Rv0640,735022
rplA,rplA,Rv0641,735517
mmaA4,mmaA1 // mmaA2 // mmaA3 // mmaA4,Rv0642c,736298
mmaA3,mmaA1 // mmaA2 // mmaA3 // mmaA4,Rv0643c,737268
mmaA2,mmaA1 // mmaA2 // mmaA3 // mmaA4,Rv0644c,738297
mmaA1,mmaA1 // mmaA2 // mmaA3 // mmaA4,Rv0645c,739327
lipG,Rv0647c // lipG,Rv0646c,740234
Rv0647c,Rv0647c // lipG,Rv0647c,741151
Rv0648,Rv0650 // fabD2 // Rv0648,Rv0648,742719
fabD2,Rv0650 // fabD2 // Rv0648,Rv0649,746363
Rv0650,Rv0650 // fabD2 // Rv0648,Rv0650,747037
rplJ,rplL // rplJ,Rv0651,748276
rplL,rplL // rplJ,Rv0652,748849
Rv0653c,Rv0653c,Rv0653c,749234
Rv0654,mkl // Rv0654,Rv0654,750000
mkl,mkl // Rv0654,Rv0655,751517
vapC6,vapC6,Rv0656c,752984
vapB6,vapB6,Rv0657c,753462
Rv0658c,Rv0658c,Rv0658c,753693
mazF2,mazE2 // mazF2,Rv0659c,754685
mazE2,mazE2 // mazF2,Rv0660c,754980
vapC7,vapB7 // vapC7,Rv0661c,755335
vapB7,vapB7 // vapC7,Rv0662c,755769
atsD,Rv0666 // vapC8 // vapB8 // atsD,Rv0663,756137
vapB8,Rv0666 // vapC8 // vapB8 // atsD,Rv0664,758532
vapC8,Rv0666 // vapC8 // vapB8 // atsD,Rv0665,758801
Rv0666,Rv0666 // vapC8 // vapB8 // atsD,Rv0666,759136
rpoB,rpoB,Rv0667,759807
rpoC,rpoC,Rv0668,763370
Rv0669c,Rv0669c,Rv0669c,767684
end,lpqP // end,Rv0670,769792
lpqP,lpqP // end,Rv0671,770582
fadE8,echA5 // Rv0674 // echA4 // fadE8,Rv0672,771484
echA4,echA5 // Rv0674 // echA4 // fadE8,Rv0673,773123
Rv0674,echA5 // Rv0674 // echA4 // fadE8,Rv0674,774064
echA5,echA5 // Rv0674 // echA4 // fadE8,Rv0675,774783
mmpL5,mmpS5 // mmpL5,Rv0676c,775586
mmpS5,mmpS5 // mmpL5,Rv0677c,778477
mmpR5,mmpR5,Rv0678,778990
Rv0679c,Rv0680c // Rv0679c,Rv0679c,779543
Rv0680c,Rv0680c // Rv0679c,Rv0680c,780042
Rv0681,Rv0681,Rv0681,780721
rpsL,rpsG // rpsL,Rv0682,781560
rpsG,rpsG // rpsL,Rv0683,781934
fusA1,fusA1,Rv0684,782485
tuf,tuf,Rv0685,784821
Rv0686,Rv0686,Rv0686,786149
Rv0687,Rv0688 // Rv0687,Rv0687,787099
Rv0688,Rv0688 // Rv0687,Rv0688,787940
Rv0689c,Rv0689c,Rv0689c,789157
Rv0690c,Rv0691c // Rv0690c,Rv0690c,790024
Rv0691A,mftD // mftC // mftB // Rv0691A,Rv0691A,791658
Rv0691c,Rv0691c // Rv0690c,Rv0691c,791070
mftB,mftD // mftC // mftB // Rv0691A,Rv0692,791831
mftC,mftD // mftC // mftB // Rv0691A,Rv0693,792157
mftD,mftD // mftC // mftB // Rv0691A,Rv0694,793335
mftE,mftE,Rv0695,794715
mftF,Rv0697 // mftF,Rv0696,795519
Rv0697,Rv0697 // mftF,Rv0697,796933
Rv0698,Rv0698,Rv0698,798833
Rv0699,Rv0699,Rv0699,799629
rpsJ,rplW // rplD // rplC // rpsJ,Rv0700,800487
rplC,rplW // rplD // rplC // rpsJ,Rv0701,800809
rplD,rplW // rplD // rplC // rpsJ,Rv0702,801462
rplW,rplW // rplD // rplC // rpsJ,Rv0703,802133
rplB,rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB,Rv0704,802528
rpsS,rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB,Rv0705,803411
rplV,rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB,Rv0706,803689
rpsC,rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB,Rv0707,804282
rplP,rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB,Rv0708,805110
rpmC,rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB,Rv0709,805526
rpsQ,rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB,Rv0710,805756
atsA,atsA,Rv0711,806335
Rv0712,Rv0712,Rv0712,808746
Rv0713,Rv0713,Rv0713,809946
rplN,rpsN1 // rplE // rplX // rplN,Rv0714,811373
rplX,rpsN1 // rplE // rplX // rplN,Rv0715,811742
rplE,rpsN1 // rplE // rplX // rplN,Rv0716,812059
rpsN1,rpsN1 // rplE // rplX // rplN,Rv0717,812627
rpsH,sppA // rplO // rpmD // rpsE // rplR // rplF // rpsH,Rv0718,812976
rplF,sppA // rplO // rpmD // rpsE // rplR // rplF // rpsH,Rv0719,813398
rplR,sppA // rplO // rpmD // rpsE // rplR // rplF // rpsH,Rv0720,813940
rpsE,sppA // rplO // rpmD // rpsE // rplR // rplF // rpsH,Rv0721,814328
rpmD,sppA // rplO // rpmD // rpsE // rplR // rplF // rpsH,Rv0722,814993
rplO,sppA // rplO // rpmD // rpsE // rplR // rplF // rpsH,Rv0723,815190
sppA,sppA // rplO // rpmD // rpsE // rplR // rplF // rpsH,Rv0724,815663
Rv0724A,Rv0724A,Rv0724A,817531
Rv0725c,Rv0725c,Rv0725c,817539
Rv0726c,Rv0726c,Rv0726c,818537
fucA,serA2 // fucA,Rv0727c,819843
serA2,serA2 // fucA,Rv0728c,820496
xylB,Rv0730 // xylB,Rv0729,821507
Rv0730,Rv0730 // xylB,Rv0730,822866
Rv0731c,Rv0731c,Rv0731c,823683
secY,mapA // adk // secY,Rv0732,824800
adk,mapA // adk // secY,Rv0733,826122
mapA,mapA // adk // secY,Rv0734,826670
sigL,sigL,Rv0735,827543
rslA,rslA,Rv0736,828140
Rv0737,Rv0737,Rv0737,829207
Rv0738,Rv0738,Rv0738,830062
Rv0739,Rv0739,Rv0739,830855
Rv0740,Rv0740,Rv0740,831776
Rv0741,Rv0741,Rv0741,832534
PE_PGRS8,PE_PGRS8,Rv0742,832981
Rv0743c,Rv0744c // Rv0743c,Rv0743c,833886
Rv0744c,Rv0744c // Rv0743c,Rv0744c,834440
Rv0745,PE_PGRS9 // Rv0745,Rv0745,835154
PE_PGRS9,PE_PGRS9 // Rv0745,Rv0746,835701
PE_PGRS10,PE_PGRS10,Rv0747,838451
vapB31,vapC31 // vapB31,Rv0748,840947
vapC31,vapC31 // vapB31,Rv0749,841228
Rv0749A,Rv0749A,Rv0749A,841737
Rv0750,Rv0750,Rv0750,842033
mmsB,mmsA // fadE9 // mmsB,Rv0751c,842347
fadE9,mmsA // fadE9 // mmsB,Rv0752c,843242
mmsA,mmsA // fadE9 // mmsB,Rv0753c,844421
PE_PGRS11,PE_PGRS11,Rv0754,846159
Rv0755A,Rv0755A,Rv0755A,850342
PPE12,PPE12,Rv0755c,848103
Rv0756c,Rv0756c // thrV,Rv0756c,850741
phoP,phoP,Rv0757,851608
phoR,phoR,Rv0758,852396
Rv0759c,Rv0759c,Rv0759c,853825
Rv0760c,adhB // Rv0760c,Rv0760c,854267
adhB,adhB // Rv0760c,Rv0761c,854699
Rv0762c,Rv0767c // cyp123 // Rv0765c // cyp51 // Rv0763c // Rv0762c,Rv0762c,855925
Rv0763c,Rv0767c // cyp123 // Rv0765c // cyp51 // Rv0763c // Rv0762c,Rv0763c,856473
cyp51,Rv0767c // cyp123 // Rv0765c // cyp51 // Rv0763c // Rv0762c,Rv0764c,856682
Rv0765c,Rv0767c // cyp123 // Rv0765c // cyp51 // Rv0763c // Rv0762c,Rv0765c,858037
cyp123,Rv0767c // cyp123 // Rv0765c // cyp51 // Rv0763c // Rv0762c,Rv0766c,858864
Rv0767c,Rv0767c // cyp123 // Rv0765c // cyp51 // Rv0763c // Rv0762c,Rv0767c,860069
aldA,Rv0769 // aldA,Rv0768,860912
Rv0769,Rv0769 // aldA,Rv0769,862412
Rv0770,purD // Rv0771 // Rv0770,Rv0770,863256
Rv0771,purD // Rv0771 // Rv0770,Rv0771,864140
purD,purD // Rv0771 // Rv0770,Rv0772,864586
ggtA,ggtA,Rv0773c,865851
Rv0774c,Rv0774c,Rv0774c,867440
Rv0775,Rv0775,Rv0775,868407
Rv0776c,Rv0776c,Rv0776c,868984
purB,cyp126 // purB,Rv0777,870008
cyp126,cyp126 // purB,Rv0778,871431
Rv0779c,Rv0779c,Rv0779c,872672
purC,ptrBa // purC,Rv0780,873343
ptrBa,ptrBa // purC,Rv0781,874233
ptrBb,ptrBb,Rv0782,874732
emrB,emrB,Rv0783c,876818
Rv0784,Rv0785 // Rv0784,Rv0784,878638
Rv0785,Rv0785 // Rv0784,Rv0785,879340
Rv0786c,Rv0786c,Rv0786c,881075
Rv0787,Rv0787,Rv0787,881459
Rv0787A,purQ // Rv0787A,Rv0787A,882524
purQ,purQ // Rv0787A,Rv0788,882760
Rv0789c,Rv0792c // Rv0791c // Rv0790c // Rv0789c,Rv0789c,883451
Rv0790c,Rv0792c // Rv0791c // Rv0790c // Rv0789c,Rv0790c,884072
Rv0791c,Rv0792c // Rv0791c // Rv0790c // Rv0789c,Rv0791c,884797
Rv0792c,Rv0792c // Rv0791c // Rv0790c // Rv0789c,Rv0792c,885837
Rv0793,Rv0793,Rv0793,886719
Rv0794c,Rv0794c,Rv0794c,887137
Rv0795,Rv0796 // Rv0795,Rv0795,889072
Rv0796,Rv0796 // Rv0795,Rv0796,889347
Rv0797,Rv0797,Rv0797,890388
cfp29,Rv0799c // cfp29,Rv0798c,891472
Rv0799c,Rv0799c // cfp29,Rv0799c,892266
pepC,Rv0801 // pepC,Rv0800,893318
Rv0801,Rv0801 // pepC,Rv0801,894631
Rv0802c,Rv0802c,Rv0802c,894972
purL,Rv0804 // purL,Rv0803,895820
Rv0804,Rv0804 // purL,Rv0804,898081
Rv0805,Rv0805,Rv0805,898831
cpsY,cpsY,Rv0806c,899732
Rv0807,Rv0807,Rv0807,901635
purF,purM // purF,Rv0808,902111
purM,purM // purF,Rv0809,903725
Rv0810c,Rv0810c,Rv0810c,904905
Rv0811c,Rv0811c,Rv0811c,905234
Rv0812,Rv0812,Rv0812,906423
Rv0813c,Rv0813c,Rv0813c,907338
sseC2,cysA2 // sseC2,Rv0814c,908181
cysA2,cysA2 // sseC2,Rv0815c,908485
thiX,Rv0817c // thiX,Rv0816c,909611
Rv0817c,Rv0817c // thiX,Rv0817c,910030
Rv0818,mshD // Rv0818,Rv0818,910972
mshD,mshD // Rv0818,Rv0819,911736
phoT,phoT,Rv0820,912726
phoY2,phoY2,Rv0821c,913558
Rv0822c,Rv0822c,Rv0822c,914257
Rv0823c,Rv0823c,Rv0823c,916477
desA1,desA1,Rv0824c,917734
Rv0825c,Rv0825c,Rv0825c,918912
Rv0826,Rv0826,Rv0826,919634
kmtR,kmtR,Rv0827c,920741
Rv0828c,Rv0828c,Rv0828c,921191
Rv0829,Rv0829,Rv0829,921575
Rv0830,Rv0830,Rv0830,921970
Rv0831c,Rv0831c,Rv0831c,922894
PE_PGRS12,PE_PGRS13 // PE_PGRS12,Rv0832,924951
PE_PGRS13,PE_PGRS13 // PE_PGRS12,Rv0833,925361
PE_PGRS14,PE_PGRS14,Rv0834c,927837
lpqQ,lpqQ,Rv0835,930953
Rv0836c,Rv0836c,Rv0836c,932279
Rv0837c,Rv0837c,Rv0837c,933003
lpqR,lpqR,Rv0838,934720
Rv0839,Rv0839,Rv0839,935577
pip,pip,Rv0840c,936457
Rv0841,Rv0841,Rv0841,937593
Rv0842,Rv0843 // Rv0842,Rv0842,938112
Rv0843,Rv0843 // Rv0842,Rv0843,939388
narL,narL,Rv0844c,940456
Rv0845,Rv0845,Rv0845,941190
mmcO,mmcO,Rv0846c,942680
lpqS,lpqS,Rv0847,944343
cysK2,Rv0850 // Rv0849 // cysK2,Rv0848,944938
Rv0849,Rv0850 // Rv0849 // cysK2,Rv0849,946056
Rv0850,Rv0850 // Rv0849 // cysK2,Rv0850,947312
Rv0851c,Rv0851c,Rv0851c,947641
fadD16,fadD16,Rv0852,948559
pdc,pdc,Rv0853c,949436
Rv0854,far // Rv0854,Rv0854,951183
far,far // Rv0854,Rv0855,951632
Rv0856,Rv0857 // Rv0856,Rv0856,952825
Rv0857,Rv0857 // Rv0856,Rv0857,953257
dapC,dapC,Rv0858c,953727
fadA,fadB // fadA,Rv0859,955077
fadB,fadB // fadA,Rv0860,956293
ercc3,ercc3,Rv0861c,958523
Rv0862c,Rv0862c,Rv0862c,960342
Rv0863,moaE2 // mog // moaC2 // Rv0863,Rv0863,962599
moaC2,moaE2 // mog // moaC2 // Rv0863,Rv0864,962890
mog,moaE2 // mog // moaC2 // Rv0863,Rv0865,963390
moaE2,moaE2 // mog // moaC2 // Rv0863,Rv0866,963869
rpfA,rpfA,Rv0867c,964312
moaD2,Rv0870c // moaA2 // moaD2,Rv0868c,965983
moaA2,Rv0870c // moaA2 // moaD2,Rv0869c,966265
Rv0870c,Rv0870c // moaA2 // moaD2,Rv0870c,967344
cspB,cspB,Rv0871,967898
PE_PGRS15,PE_PGRS15,Rv0872c,968424
fadE10,fadE10,Rv0873,970505
Rv0874c,Rv0874c,Rv0874c,972546
Rv0875c,Rv0876c // Rv0875c,Rv0875c,973806
Rv0876c,Rv0876c // Rv0875c,Rv0876c,974291
Rv0877,Rv0877,Rv0877,976075
PPE13,PPE13,Rv0878c,976872
Rv0879c,Rv0879c,Rv0879c,978481
Rv0880,Rv0882 // Rv0881 // Rv0880,Rv0880,978934
Rv0881,Rv0882 // Rv0881 // Rv0880,Rv0881,979362
Rv0882,Rv0882 // Rv0881 // Rv0880,Rv0882,980225
Rv0883c,Rv0883c,Rv0883c,980506
serC,serC,Rv0884c,981424
Rv0885,fprB // Rv0885,Rv0885,982762
fprB,fprB // Rv0885,Rv0886,983803
Rv0887c,Rv0887c,Rv0887c,985513
spmT,spmT,Rv0888,987233
citA,citA,Rv0889c,988740
Rv0890c,Rv0891c // Rv0890c,Rv0890c,989948
Rv0891c,Rv0891c // Rv0890c,Rv0891c,992598
Rv0892,Rv0892,Rv0892,993853
Rv0893c,Rv0893c,Rv0893c,995318
Rv0894,Rv0894,Rv0894,996524
Rv0895,Rv0895,Rv0895,997782
gltA2,gltA2,Rv0896,999472
Rv0897c,Rv0898c // Rv0897c,Rv0897c,1000808
Rv0898c,Rv0898c // Rv0897c,Rv0898c,1002441
ompA,Rv0901 // Rv0900 // ompA,Rv0899,1002812
Rv0900,Rv0901 // Rv0900 // ompA,Rv0900,1003805
Rv0901,Rv0901 // Rv0900 // ompA,Rv0901,1003957
prrB,prrA // prrB,Rv0902c,1004501
prrA,prrA // prrB,Rv0903c,1005852
accD3,accD3,Rv0904c,1006693
echA6,Rv0906 // echA6,Rv0905,1008207
Rv0906,Rv0906 // echA6,Rv0906,1008944
Rv0907,ctpE // Rv0907,Rv0907,1010136
ctpE,ctpE // Rv0907,Rv0908,1011731
Rv0909,Rv0910 // Rv0909,Rv0909,1014681
Rv0910,Rv0910 // Rv0909,Rv0910,1014866
Rv0911,Rv0911,Rv0911,1015398
Rv0912,Rv0912,Rv0912,1016236
Rv0913c,Rv0914c // Rv0913c,Rv0913c,1017217
Rv0914c,Rv0914c // Rv0913c,Rv0914c,1018727
PPE14,PE7 // PPE14,Rv0915c,1020058
PE7,PE7 // PPE14,Rv0916c,1021344
betP,betP,Rv0917,1022087
Rv0918,Rv0919 // Rv0918,Rv0918,1024211
Rv0919,Rv0919 // Rv0918,Rv0919,1024684
Rv0920c,Rv0920c,Rv0920c,1025497
Rv0921,Rv0922 // Rv0921,Rv0921,1027104
Rv0922,Rv0922 // Rv0921,Rv0922,1027685
Rv0923c,Rv0925c // mntH // Rv0923c,Rv0923c,1029513
mntH,Rv0925c // mntH // Rv0923c,Rv0924c,1030578
Rv0925c,Rv0925c // mntH // Rv0923c,Rv0925c,1031896
Rv0926c,Rv0926c,Rv0926c,1032710
Rv0927c,Rv0927c,Rv0927c,1033840
pstS3,pstA1 // pstC2 // pstS3,Rv0928,1034903
pstC2,pstA1 // pstC2 // pstS3,Rv0929,1036028
pstA1,pstA1 // pstC2 // pstS3,Rv0930,1036999
pknD,pstS2 // pknD,Rv0931c,1037920
pstS2,pstS2 // pknD,Rv0932c,1039936
pstB,pstA2 // pstC1 // pstS1 // pstB,Rv0933,1041264
pstS1,pstA2 // pstC1 // pstS1 // pstB,Rv0934,1042115
pstC1,pstA2 // pstC1 // pstS1 // pstB,Rv0935,1043299
pstA2,pstA2 // pstC1 // pstS1 // pstB,Rv0936,1044317
mku,mku,Rv0937c,1045199
ligD,Rv0939 // ligD,Rv0938,1046136
Rv0939,Rv0939 // ligD,Rv0939,1048412
Rv0940c,Rv0940c,Rv0940c,1050593
Rv0941c,Rv0941c,Rv0941c,1051544
Rv0942,Rv0942,Rv0942,1052360
Rv0943c,Rv0943c,Rv0943c,1052696
Rv0944,Rv0945 // Rv0944,Rv0944,1053765
Rv0945,Rv0945 // Rv0944,Rv0945,1054247
pgi,pgi,Rv0946c,1055024
Rv0947c,Rv0947c,Rv0947c,1057300
Rv0948c,Rv0948c,Rv0948c,1057646
uvrD1,uvrD1,Rv0949,1058260
Rv0950c,Rv0950c,Rv0950c,1060656
sucC,sucD // sucC,Rv0951,1061964
sucD,sucD // sucC,Rv0952,1063140
Rv0953c,Rv0953c,Rv0953c,1064114
Rv0954,Rv0955 // Rv0954,Rv0954,1065127
Rv0955,Rv0955 // Rv0954,Rv0955,1066078
purN,purH // purN,Rv0956,1067561
purH,purH // purN,Rv0957,1068205
Rv0958,Rv0959 // Rv0958,Rv0958,1069883
Rv0959,Rv0959 // Rv0958,Rv0959,1071255
vapB9,vapC9 // vapB9,Rv0959A,1073327
vapC9,vapC9 // vapB9,Rv0960,1073545
Rv0961,Rv0961,Rv0961,1074074
lprP,lprP,Rv0962c,1074440
Rv0963c,Rv0963c,Rv0963c,1075297
